City,Contract Coded?,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,yes,,,,,,,,,,,,,,,,,,,,,,,
Anaheim,yes,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,yes,,,,,,,,,,,,,,,,,,,,,,,
Arlington,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Aurora,yes,,,,,,,,,,,,,,,,,,,,,,,
Austin,yes,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,yes,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,yes,,,,,,,,,,,,,,,,,,,,,,,
Baton Rouge,yes,,,,,,,,,,,,,,,,,,,,,,,
Birmingham,No contract received,,,,,,,,,,,,,,,,,,,,,,,
Boston,yes,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,yes,,,,,,,,,,,,,,,,,,,,,,,
Chandler,yes,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Chesepeake,No contract received,,,,,,,,,,,,,,,,,,,,,,,
Chicago,yes,,,,,,,,,,,,,,,,,,,,,,,
Chula Vista,yes,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,yes,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,yes,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Columbus,yes,,,,,,,,,,,,,,,,,,,,,,,
Corpus Christi,yes,,,,,,,,,,,,,,,,,,,,,,,
Dallas,yes,,,,,,,,,,,,,,,,,,,,,,,
Denver,yes,,,,,,,,,,,,,,,,,,,,,,,
Detroit,yes,,,,,,,,,,,,,,,,,,,,,,,
Durham,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
El Paso,yes,,,,,,,,,,,,,,,,,,,,,,,
Fort Wayne,yes,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth,yes,,,,,,,,,,,,,,,,,,,,,,,
Fremont,yes,,,,,,,,,,,,,,,,,,,,,,,
Fresno,yes,,,,,,,,,,,,,,,,,,,,,,,
Garland,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Glendale,yes,,,,,,,,,,,,,,,,,,,,,,,
Greensboro,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Henderson,yes,,,,,,,,,,,,,,,,,,,,,,,
Hialeah,yes,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,yes,,,,,,,,,,,,,,,,,,,,,,,
Houston,yes,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,yes,,,,,,,,,,,,,,,,,,,,,,,
Irvine,yes,,,,,,,,,,,,,,,,,,,,,,,
Irving,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,yes,,,,,,,,,,,,,,,,,,,,,,,
Jersey City,yes,,,,,,,,,,,,,,,,,,,,,,,
Kansas City ,yes,,,,,,,,,,,,,,,,,,,,,,,
Laredo,yes,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,yes,,,,,,,,,,,,,,,,,,,,,,,
Lexington,yes,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,yes,,,,,,,,,,,,,,,,,,,,,,,
Long Beach,yes,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,yes,,,,,,,,,,,,,,,,,,,,,,,
Louisville,yes,,,,,,,,,,,,,,,,,,,,,,,
Lubbock,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Madison,yes,,,,,,,,,,,,,,,,,,,,,,,
Memphis,yes,,,,,,,,,,,,,,,,,,,,,,,
Mesa,yes,,,,,,,,,,,,,,,,,,,,,,,
Miami,yes,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,yes,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,yes,,,,,,,,,,,,,,,,,,,,,,,
Nashville,yes,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
New York City,yes,,,,,,,,,,,,,,,,,,,,,,,
Newark,yes,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
North Las Vegas,yes,,,,,,,,,,,,,,,,,,,,,,,
Oakland,yes,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City,yes,,,,,,,,,,,,,,,,,,,,,,,
Omaha,yes,,,,,,,,,,,,,,,,,,,,,,,
Orlando,yes,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,yes,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,yes,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,yes,,,,,,,,,,,,,,,,,,,,,,,
Plano,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Portland,yes,,,,,,,,,,,,,,,,,,,,,,,
Raleigh,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Reno,yes,,,,,,,,,,,,,,,,,,,,,,,
Riverside,yes,,,,,,,,,,,,,,,,,,,,,,,
Rochester,yes,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,yes,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,yes,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,No contract received,,,,,,,,,,,,,,,,,,,,,,,
San Diego,yes,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,yes,,,,,,,,,,,,,,,,,,,,,,,
San Jose,yes,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,yes,,,,,,,,,,,,,,,,,,,,,,,
Scottsdale,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Seattle,yes,,,,,,,,,,,,,,,,,,,,,,,
Spokane,yes,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,yes,,,,,,,,,,,,,,,,,,,,,,,
St. Paul,yes,,,,,,,,,,,,,,,,,,,,,,,
St. Petersburg,yes,,,,,,,,,,,,,,,,,,,,,,,
Stockton,yes,,,,,,,,,,,,,,,,,,,,,,,
Tampa,yes,,,,,,,,,,,,,,,,,,,,,,,
Toledo,yes,,,,,,,,,,,,,,,,,,,,,,,
Tucson,yes,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,yes,,,,,,,,,,,,,,,,,,,,,,,
Virginia Beach,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
Washington D.C.,yes,,,,,,,,,,,,,,,,,,,,,,,
Wichita,yes,,,,,,,,,,,,,,,,,,,,,,,
Winston Salem,This City does not have a police union contract,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
California Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Delaware Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Florida Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Illinois Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Maryland Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Nevada Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
New Mexico Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Virginia Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
West Virginia Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Police Bill of Rights,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
